name, street, city, state, zipcode, county, lat, long
Mountview Middle,270 Shrewsbury Street,Holden,MA,01520,Worcester County,42.33492,-71.824062
Mozart Elementary School,236 Beech Street,Roslindale,MA,02131,Suffolk County,42.281285,-71.141115
MRS ALEXANDER'S SCHOOL,80 LOTHROP ST,BEVERLY,MA,01915,Essex County,42.54593,-70.874291
Mt Everett Regional,491 Berkshire School Road,Sheffield,MA,01257,Berkshire County,42.106196,-73.374486
Mt Greylock Regional High,1781 Cold Spring Road,Williamstown,MA,01267,Berkshire County,42.671437,-73.241091
Muddy Brook Regional Elementary School,318 Monument Valley Rd,Great Barrington,MA,01230,Berkshire County,42.246769,-73.329615
MULLEIN HILL CHRISTIAN ACADEMY,25 STAPLES SHORE RD,LAKEVILLE,MA,02347,Plymouth County,41.85899,-70.931221
Mullen-Hall,130 Katherine Lee Bates Rd,Falmouth,MA,02540,Barnstable County,41.553876,-70.613733
Mulready Elementary,306 Cox Street,Hudson,MA,01749,Middlesex County,42.397219,-71.540767
Munger Hill,33 Mallard Lane,Westfield,MA,01085,Hampden County,42.097944,-72.73041
Muraco Elementary,33 Bates Road,Winchester,MA,01890,Middlesex County,42.463217,-71.131377
Murdock Academy for Success,175 Grove St,Winchendon,MA,01475,Worcester County,42.686789,-72.053735
Murdock High School,3 Memorial Drive,Winchendon,MA,01475,Worcester County,42.698999,-72.043654
Murdock Middle School,3 Memorial Drive,Winchendon,MA,01475,Worcester County,42.698999,-72.043654
Murphy K-8 School,1 Worrell Street,Dorchester,MA,02122,Suffolk County,42.294022,-71.049
Mystic Valley Regional Charter School,770 Salem Street,Malden,MA,02148,Middlesex County,42.43493,-71.044171
Nabnasset,99 Plain Road,Westford,MA,01886,Middlesex County,42.608716,-71.422176
Nantucket Elementary,30 Surfside Road,Nantucket,MA,02554,Nantucket County,41.269586,-70.098212
Nantucket High,10 Surfside Road,Nantucket,MA,02554,Nantucket County,41.27345,-70.098561
Nantucket Intermediate School,30 Surfside Road,Nantucket,MA,02554,Nantucket County,41.268342,-70.09911
NANTUCKET LIGHTHOUSE SCHOOL,1 RUGGED RD,NANTUCKET,MA,02554,Nantucket County,41.26281,-70.092331
Naquag Elementary School,285 Main Street,Rutland,MA,01543,Worcester County,42.374334,-71.957391
Narragansett Middle,460 Baldwinville Rd,Baldwinville,MA,01436,Worcester County,42.587922,-72.074137
Narragansett Regional High,464 Baldwinville Rd,Baldwinville,MA,01436,Worcester County,42.587922,-72.074137
NASHOBA BROOKS SCHOOL,200 STRAWBERRY HILL RD,CONCORD,MA,01742,Middlesex County,42.478551,-71.380433
NASHOBA LEARNING GROUP,10 OAK PARK DR,BEDFORD,MA,01730,Middlesex County,42.515307,-71.24997
